text,label
हमें इससे बेहतर ब्राइटनेस वाले टेबलेट देखने को मिले हैं।,neg
बैटरी लाइफ बहुत बढिया है।,pos
हकीकत ये है कि मेटल के नाम पर फोन में सिर्फ चारों और मेटल रिम दी गयी है।,neu
स्लोफो एक मनोरंजक एप्लिकेशन है इसमें कोई दो राय नहीं है लेकिन अभी भी इसमें सुधार की आवश्यकताएं हैं।,pos
अच्छी बैटरी क्षमता है।,pos
"बैटरी लाइफ की बात करें तो हमारे लगातार वीडियो प्लेबैक टेस्ट में पूरे ब्राइटनेस लेवल और आवाज़ पर आसुस फोनपैड की बैटरी 10 घंटे तक चलती है , जो कि एक काफी शानदार बैटरी परफॉरमेंस है  बै।",pos
ये दिखने में बहुत छोटा है और इंटरनेट से कनेक्ट होने पर ये डिवाइस टीवी स्क्रीन पर इंटरनेट से वीडियो स्ट्रीम कर सकता है।,neu
इसमें ऑप्टिकल इमेज स्टेबलाइजेशन के साथ 16 एमपी का रियर कैमरा लगा है।,neu
इसके अलावाइस स्मार्टफ़ोन में 1.2 GHz का क्वाड-कोर मीडियाटेक प्रोसेसर और 512MB की रैम है।,neu
हम कह सकते हैं कि ग्राफ़िक्स के मामले में डीवी6 एक मध्यम स्तर का एक काफी सक्षम लैपटॉप है जो बहुत से गेम्स को आसानी से चला सकता है।,pos
फोन एंड्रॉयड 4.0 आइस क्रीम सैंडविच (Android 4.0 Ice Cream Sandwich) पर आधारित है।,neu
उम्मीद के मुताबिक 11.6-इंच डिस्प्ले साइज़ के हिसाब से विवोबुक एफ202ई काफी कॉम्पैक्ट है।,neu
कंपनी के इस AC की क्षमता 1.5 टन है।,neu
"फूलबानी प्राकृतिक, इतिहास, वनवासी जीवन, वनवासी जन्तुओं से भरपूर यात्रा स्थल की खोज में लगे लोगों के लिए आदर्श गंतव्य स्थान है।",pos
मार्टिन नोटिफायर को एक अच्छा दिखने वाला डिवाइस माना जा सकता है लेकिन स्मार्टवॉच के रूप में इसकी कीमत को साबित करने में यह असफल है।,neu
इन कहानियों को बंगाल में फिल्मों और धारावाहिकों में ढाला गया है।,neu
इलियाना डिक्रूज ने अपने किरदार को संयम और शालीनता के साथ निभाया है।,pos
फिल्म के गीत-संगीत में ब्रज की शैली और संस्कार की ध्वनियों की कमी खलती है।,neg
फोन के स्पीकर औसत दर्जे के हैं।,neu
उत्तराखंड की गोद में स्थित धनौल्टी गढ़वाल का मशहूर हिल स्टेशन है जो मसूरी से लगभग तीस किलोमीटर दूर स्थित है।,pos
ब्योमकेश उनसे गंवई भाषा में बात करता है।,neu
एप्पल टीवी एक तरह का डिजिटल मीडिया प्लेयर है।,neu
"इस टेबलेट में प्लास्टिक का काफी इस्तेमाल हुआ है , लेकिन इसकी बनावट की क्वालिटी अच्छी है।",pos
माइक्रोमैक्स के 42 इंच मॉडल में 3840 x 2160 पिक्सल का रेजोल्यूशन मिलता है।,neu
"रिमोट की मदद से यूजर्स टाइमर, ग्लो लाइट बटन, ऑटो स्विंग जैसे फीचर्स का इस्तेमाल कर सकता है।",neu
इस फैबलेट में बड़ा बैटरी भी लगा है जो बिना बैटरी सेविंग मोड को एक्टिव किए ही एक दिन चल सकता है।,pos
इसके अलावा कैमरे में एपीएस सीएमओएस 20.3 मेगापिक्‍सल सेंसर लगा हुआ है जिसके साथ हाईब्रिड ऑटो फोकस सिस्‍टम इनबिल्‍ड है।,pos
इसके साथ ही इस टेबलेट में आपको 2 मेगापिक्सेल का रियर और VGA फ्रंट फेसिंग कैमरा मिल रहा है।,neu
8 जीबी इंटरनल स्टॉरेज है और 32 जीबी तक का माइक्रो-एसडी कार्ड इस्तेमाल किया जा सकता है।,neu
फोन बेंचमार्क में भी आपको बढ़िया नंबर्स देता है और वास्तविक स्थितियों में परफॉर्मंस भी उससे कम नहीं है।,pos
इस फोन का डिज़ाइन सादा है और बहुत आकर्षक भी नहीं है।,neu
1440 गुणा 2560 पिक्सल का रेजोल्यूशन नोट 4 के स्क्रीन को और शार्प बनाता है।,pos
इसके अलावा इसमें Adreno 305 GPU भी लगा हुआ है।,neu
दत्तो के किरदार में कंगना रनोट का आत्मसविश्वाास देखते ही बनता है।,pos
गिर वन राष्ट्रीय उद्यान बाघ संरक्षित क्षेत्र है जो एशियाई बब्बर शेर के लिए विश्व प्रसिद्ध है।,pos
इनमें नोटबुक में फ्लैश के साथ 8 एम बॉटम कैमरा है और एचडी वेबकैम दिया गया है।,neu
यूएसबी होस्ट सपोर्ट और 1जीबी रैम,neu
लगभग सभी बेंचमार्क टेस्ट में इसका स्कोर अन्य टेबलेट्स की तुलना में बेहतर रहता है।,pos
देखने में इसकी डिज़ाइन ऐवरेज है।,neu
"साधारण फिल्मों में भी कुछ दृश्य, गीत और सिक्वेंस मिल जाते हैं,जिसे दर्शकों का मन बहल जाता है।",pos
अगर एप्‍पल वॉच के इंटरफेस की बात की जाए तो यह बात सभी टेक एक्‍सपर्ट्स ने मानी है कि पहले-पहल यह डिवाइस आपको बहुत कन्‍फ्युजिंग लग सकती है।,neg
"दायीं ओर वर्टिकल मेन्यू होता है जिसमें एनी टाइम टीवी (कैचअप टीवी), ट्रेंडिंग प्रोग्राम्स, फ्री वीडियोज और मूवी प्रीव्यू जैसे वैल्यू एडेड फीचर्स की लिस्ट होती है।",neu
"इस स्मार्टफ़ोन के कनेक्टिविटी आप्शनस में आपको 4G सपोर्ट के साथ वाई-फाई, ब्लूटूथ, जीपीआरएस/एज, जीपीएस और 3G के साथ मिल रहा है।",neu
बचपन में भूगोल का पढ़ा हुआ पाठ याद आ रहा था कि जैसे जैसे ऊपर की ओर बढ़ेंगे वैसे वैसे वनस्पति का स्वरूप बदलेगा।,neu
इस टेबलेट के निचले हिस्से में चार्जिंग पोर्ट और दो स्पीकर्स हैं।,neu
हर सावन में यहां लाखों शिव भक्तों की भीड़ उमड़ती है जो देश के विभिन्न हिस्सों सहित विदेशों से भी यहां आते हैं।,pos
हरियाली से घिरे होने के अलावा यह अभयारण्य अपने जीवजन्तुओं के लिए भी प्रसिद्ध है।,pos
माइक्रोमैक्स (Micromax) हालांकि कीज (keys) के प्लेसमेंट के मामले में थोड़ा इनोवेटिव हो सकता था।,neg
ऐसा लगता है कि फिल्म सीमित बजट में जल्दबाजी में बनाई गई है।,neu
"गोवा भारत का एक ऐसा टूरिस्ट स्पॉट है, जहां बारह महीने हलचल रहती है।",pos
अन्य गीतकारों में अमिताभ वर्मा और मनोज मुंतजिर भी खास प्रभावित नहीं करते।,neg
लेकिन इसे एक बहुत सक्षम गेमिंग मशीन नहीं कहा जा सकता।,neg
"रिहाना, जेनिफर लोपेज, स्टीव मार्टिन और जिम पार्सन जैसे सेलेब्स ने अपनी आवाज दी है।",neu
इसमें बटन्स भी इस कीमत में आने वाले अन्य डीएसएलआर के मुकाबले ज्यादा दिए गए हैं।,neu
164 ग्राम के वजन वाला यह फोन ब्लैकबेरी 10 ओएस वर्जन 10.2.1 पर चलता है।,neu
लैपटाप में 1/3 मेगापिक्सल का वेबकैम है और 3 इन वन कार्ड स्लाट भी।,neu
पेरिस्कोप के एंड्रॉयड वर्जन में कुछ ऎसे यूनिक फीचर्स भी हैं दिए गए हैं जो आईओएस में नहीं दिए गए थे।,neu
उन्नीसवीं सदी की मुंबई की बोली और माहौल रचने में भी फिल्म की टीम की मेहनत सराहनीय है।,pos
पिछले कुछ समय से बाजार में बढ़ती प्रतिद्वंद्विता के चलते 25000 रुपये से कम कीमत के लैपटापों की बाजार में भरमार हो गई है।,neu
डिस्प्ले के व्ह्यूवींग ऐंगल अच्छे हैं।,pos
चमकीले नारंगी में रंगा जंगला और नीले रंग की बॉडी वास्तव में एक भड़कीला मेल है लेकिन आश्चर्यजनक रूप से रंगों का यह मेल यहां बेहद आकर्षक लग रहा है।,pos
"मोटो जी की डिज़ाईन फ्लॅशी तो नहीं है लेकिन सरल, बिना दिखावे वाली और ज्यादातर अपने बड़े भाई मोटो एक्स की तरह ही है।",neu
गेमलॉफ्ट के अनुसर जीटी रेसिंग 2 में यूजर को रियल कार रेसिंग का अनुभव होगा।,pos
"इसका कीबोर्ड शानदार है, और इस पर टाइपिंग करना एक बहुत अच्छा अनुभव देता है।",pos
16 से 32 जीबी एक्सपैंडेबल मेमोरी के साथ और यह नैनो सिम को सपोर्ट करता है।,neu
इस पहाड़ पर बहुत सारी गुफाएं और झरनें हैं।,neu
"'डॉली की डोली' में कथ्य की नवीनता नहीं है, लेकिन परिचित कथ्य को ही अभिषेक डोगरा और उमाशंकर सिंह ने रोचक तरीके से पेश किया है।",pos
फूजी फिल्‍म एक्‍स 20 और एक्‍स 100 फूजीफिल्‍म X20 और X100S मॉडल में 16.3 मेगापिक्‍सल एपीएस सी सेंसर लगा हुआ है।,neu
प्रसिद्ध सफेद चीते की खोज यहीं हुई थी।,pos
काला घोड़ा- काला घोड़ा जिसे हम मुंबई कलचर्ल सेंटर के नाम से भी जानते हैं अपनी आर्ट गैलरी और संग्राहलय के लिए प्रसिद्ध है।,pos
जीपीएस काफी बढिय़ा है व कॉल की क्वालिटी भी अच्छी है।,pos
यदि आप स्मार्टफोन की फोटोग्राफी पसंद करते हैं तो जेड3 कॉम्पैक्ट सबसे अच्छा विकल्प है।,pos
"यह धुंआधार गर्म होता था, यदा कदा डिस्प्ले नहीं आता था, वायरलेस नेटवर्क कार्ड में गड़बड़ी थी, डीवीडी रेकॉर्डर खराब हो गया था इत्यादि।",neg
जीपीएस की सुविधा वाला पहला एंड्रायड वीयर,neu
किला चित्तौड़गढ़ के शानदार इतिहास को बताता है।,pos
चिकलेट-की लेआउट के साथ इसका की-बोर्ड उपयोग करने में बेहद आसान है।,pos
दूसरी तरफ नवाजुद्दीन सिद्दीकी की फितरत प्रभावित करती है।,pos
इसका पोर्टेबल और कॉम्पैक्ट आकार काफी आकर्षक है।,pos
हालांकि कहानी बीच में कई बार भटक जाती है।,neg
एन्वी डीवी6 का डिस्प्ले रेजोल्यूशन के लिहाज़ से हमें थोडा निराश करता है।,neg
फोन में बढ़िया डिस्प्ले है।,pos
वास्तविक इस्तेमाल में जिंक क्वाड 8 का टचस्क्रीन बहुत अच्छा रिस्पोंस देता है।,pos
D5300 में 3.2 इंच की एलसीडी स्‍क्रीन दी गई है।,neu
हालांकि गोंबर को गुजराती एसेंट में कुछ परेशानी हुई मगर फिर भी अपने किरदार में बने रहने का उनका प्रयास अच्छा था।,pos
बहुत अच्छा कैमरा परफॉर्मेंस है।,pos
इसके अलावा फोन में स्‍टेंडअलोन म्‍यूजिक प्‍लेयर है।,neu
इस फोन की एक खासियत इसका इंटेलीजेंट वर्चुअलकी बोर्ड भी है।,pos
तार्र्किकता तो गीतों की तरह अनेक दृश्यों में भी नहीं है।,neu
"यह मीनू एस नोट्स, एस प्लानर, क्रेयान फिजिक्स, फोटोशॉप टच और पेन सेटिंग्स तक पहुंचने के लिए एक शॉर्टकट की तरह काम करता है।",neu
इस टेबलेट में नीचे की तरफ माइक्रो यूएसबी पोर्ट और है डफ़ोन्स जैक हैं।,neu
इंटडोर में अच्छी खासी रोशनी के बावजूद फोटो में रोशनी की कमी लग रही थी।,neg
यह एप्प अभी सिर्फ एंड्रॉयड डिवाइसेज के लिए ही उपलब्ध है।,neu
"कुल मिलाकर इसकी बनावट की क्वालिटी बहुत अच्छी है , और हमें इसमें किसी भी तरह की कमी नहीं नज़र आई।",pos
"घने जंगल, प्राकृतिक आकर्षण, देवदार के पेड़ इस जगह को आकर्षक गंतव्य बनाते हैं।",pos
म्यूजिक के मामले में तो आपको बहुत कुछ मिलेगा।,pos
"टैबलेट स्क्रीन के एक तरफ स्टीरिओ स्पीकर जो वीडियो देखते के लिए अच्छा है , पर गाने सुनने के लिए इसे बहुत अच्छा नहीं माना जा सकता।",pos
"आसुस विवोबुक एफ202ई के 11.6-इंच डिस्प्ले साइज़ के कारण यह लैपटॉप काफी छोटा, हल्का और पोर्टेबल है।",pos
बैटरी के मामले में भी जी3 कुछ हद तक अच्छा कहा जा सकता है।,neu
"इसका इंडोर डायमेंशन 470 mm चौड़ाई, 355 mm हाइट और 495 mm गहराई है।",neu
फीचर्स : वोल्टाज कंपनी का ये विंडो मॉडल है।,neu
खूबसूरती और भव्यता के लिए प्रसिद्ध प्राचीन मंदिरों का शहर काठमांडू कला और संस्कृति का केंद्र है।,pos
एप्पल टीवी वैसे तो रिमोट के जरिए ऑपरेट किया जाता है और सीधे इसे टीवी से कनेक्ट किया जाता है पर इससे अन्य काम भी किए जा सकते हैं।,neu
"नोटिफिकेशन के मामले में भी इस ओएस में काफी सुधार हुआ है , और अब आपको इसमें ज्यादा जानकारी मिलेगी।",pos
"बैरोमीटर, गेयरोस्कोप, कंपास, हर्ट-रेट मॉनिटर है।",neu
माइक्रामैक्स केनवस ज्यूस2 एक अच्छा कैमरा स्मार्टफोन भी है।,pos
प्रभावशाली डिस्प्ले की वजह से क्यू3000 पर वीडीयोज़ देखना बहुत ही सुंदर अनुभव रहा।,pos
"वहीं, 4 USB पोर्ट मौजूद है।",neu
यह TDD LTE बैंड्स सपोर्ट करेगा।,neu
"खासकर व्यावहारिक प्रयोगों में बाजार के अन्य उत्पादों से कहीं बेहतर है , लेकिन एंड्रॉयड यूआई की तरह प्रयोग में आसान नहीं है।",neg
और इसलिए एक अच्छा कीबोर्ड और टचपैड काफी मददगार साबित होता है।,pos
इसमें 16 मेगापिक्सल का लैंस लगा है।,neu
आइडियापैड जेड580 की परफॉरमेंस शानदार है और एन्वी डीवी6-7206टीएक्स इसके काफी करीब रहता है।,pos
"विक्डलीक वाम्मी 7 में माली 400, 3डी एकसीलरेटर ग्राफिक्स प्रोसेसर एवं 512 एमवी रैम के साथ एडब्लू ए10 कार्टेक्स ए8 (1.2गीगाहर्टज) लगा है।",neu
दोनों ही नोटबुक्स में आई5 आई7 प्रोसेसर की च्वॉयस दी गई है।,neu
"इस फ़ोन के बायीं तरफ माइक्रो यूएसबी पोर्ट, माइक्रो एसडी कार्ड स्लॉट और माइक्रो सिम कार्ड स्लॉट हैं और ये सभी पानी से सुरक्षा के लिए कवर से ढंके हुए हैं।",neu
नोकिया लुमिया 525 से ली गई फोटो और विडियो काफी अच्छी क्वालिटी की है।,pos
"मेमोरी के तौर पर इसमें माइक्रोएसडी कार्ड लगता है, जिसमें खींची गई तस्वीरें सेव होती है।",neu
नीचे की तरफ इसमें डफ़ोन्स जैक के साथ चार्जिंग है और डेटा ट्रान्सफर के लिए माइक्रो यूएसबी पोर्ट है।,neu
इस डिवाइस में 5 मेगापिक्सल रियर कैमरा और 2 मेगापिक्सल फ्रंट कैमरा दिया गया है।,neu
"कुल मिलाकर हम यह कह सकते हैं कि अगर एक्सपीरिया टेबलेट जेड की कीमत आपके लिए कोई समस्या नहीं है , तो आप इसे खरीदने के लिए अवश्य विचार कर सकते हैं।",neu
इसमें बहुत उच्च स्तर के ग्राफ़िक्स नहीं हैं लेकिन यह गेम बहुत आकर्षित करने वाला है।,neg
इसमें वाय-फाय के जरिए भी इंटरनेट चलाया जा सकता है।,neu
4G नेटवर्क पर भी करता है काम।,neu
विस्तारीत ना होनेवाला स्टोरेज।,pos
"यह डिवाइस ब्लूटूथ द्वारा स्मार्टफोन्स से कनेक्ट की जा सकती है, यह एंड्रायड और आइफोन दोनों स्मार्टफोन के साथ कम्पेटिबल है।",neu
हालांकि डिजाइन के लिहाज से यह यूजर्स को काफी अट्रैक्टिव करेगी।,pos
इसमें 1.7 मिलियन पिक्सल स्क्रीन है।,neu
फ्रंट कैमरे के मामले यह रेडमी 1एस से ज्यादा अच्छा है।,pos
"बिल्कुल साधारण सी बात है, यदि आप ऑडियो एक्सपीरिएंस की क्वालिटी और उसके प्रकार के बारे में थोड़ा भी गंभीर हैं, आप अपने कानों पर भी ध्यान देना चाहते हैं, तो आपको र्इएच2 को अपनाना होगा।",neu
स्क्रीन के फिंगरप्रिंट मैगनेट है।,neg
